"latitude","longitude","brightness","daynight","acq_date","acq_time","daynight.1","type","datetime","city","state","population","wildfire","precipitation","cloud_cover","temp_C","wind","humidity","ndvi","soil_moisture","elevation"
35.4305,-79.1245,320.3,"D","2020-10-07",1617,"D",0,"2020-10-07 16:17:00","Broadway","North Carolina",1429,1,0,0,27.4,10.8,46,0.5472,0.168547689914703,115
46.9897,-117.1232,329.2,"D","2020-03-24",1913,"D",0,"2020-03-24 19:13:00","Garfield","Washington",586,1,0.1,95,7.6,12.3,53,0.2426,0.357964873313904,780
37.0564,-96.5454,322.1,"D","2020-04-07",1927,"D",0,"2020-04-07 19:27:00","Cedar Vale","Kansas",618,1,0,0,26.4,10,57,0.3076,0.408221393823624,334
36.7677,-96.4925,319,"D","2020-04-09",1915,"D",0,"2020-04-09 19:15:00","Foraker","Oklahoma",19,1,0,95,15.8,13.9,38,0.3476,0.349994510412216,297
29.1036,-97.5748,320.5,"D","2020-10-20",1726,"D",0,"2020-10-20 17:26:00","Yorktown","Texas",1987,1,0,22,31.9,16.8,42,0.5517,0.084667257964611,133
32.9182,-87.4983,336.7,"D","2020-03-08",1914,"D",0,"2020-03-08 19:14:00","Moundville","Alabama",3649,1,0,81,16,9.6,48,0.6007,0.380633175373077,108
45.0716,-122.4215,317.8,"N","2020-09-12",602,"N",0,"2020-09-12 06:02:00","Molalla","Oregon",10168,1,0,0,13.7,2.1,64,0.763,0.0993821397423744,612
39.8714,-122.7171,338.5,"D","2020-08-27",2119,"D",0,"2020-08-27 21:19:00","Paskenta","California",61,1,0,53,29.6,10.1,24,0.6214,0.146386831998825,1077
40.2986,-123.2071,322.9,"N","2020-09-14",549,"N",0,"2020-09-14 05:49:00","Ruth","California",165,1,0,23,13.9,3.6,49,0.8798,0.0544996038079262,1107
36.2762,-98.934,329.7,"D","2020-03-29",1933,"D",0,"2020-03-29 19:33:00","Chester","Oklahoma",77,1,0,97,18,13.3,28,0.5105,0.12515664100647,575
39.9764,-98.0279,387.5,"D","2020-04-07",1928,"D",0,"2020-04-07 19:28:00","Webber","Kansas",24,1,0,0,26.3,11.2,25,0.2579,0.273550361394882,498
32.2975,-91.6595,316.4,"D","2020-10-05",1944,"D",0,"2020-10-05 19:44:00","Baskin","Louisiana",180,1,0,0,20.5,7.6,60,0.5296,0.233531251549721,23
32.0347,-94.174,309.6,"D","2020-11-11",2002,"D",0,"2020-11-11 20:02:00","Tenaha","Texas",1098,1,0,0,19.8,9.4,46,0.7068,0.113330997526646,70
38.79,-95.4305,305.4,"D","2020-03-29",1934,"D",0,"2020-03-29 19:34:00","Centropolis","Kansas",70,1,0,5,17.1,12.8,38,0.3233,0.348826229572296,347
31.5349,-84.4159,322.9,"D","2020-03-26",1901,"D",0,"2020-03-26 19:01:00","Leary","Georgia",321,1,0,0,26.6,3.4,46,0.6711,0.307979226112366,68
27.669,-80.8618,315.3,"D","2020-07-08",1637,"D",0,"2020-07-08 16:37:00","Yeehaw Junction","Florida",314,1,0,99,30.7,14.8,65,0.7621,0.193662643432617,22
36.2244,-118.5001,308.4,"N","2020-09-01",618,"N",0,"2020-09-01 06:18:00","Cedar Slope","California",0,1,0,0,10,4,75,0.2266,0.0486414358019829,1889
39.8328,-122.8601,315.1,"N","2020-09-02",703,"N",0,"2020-09-02 07:03:00","Paskenta","California",61,1,0,0,19,6.4,22,0.1868,0.0558884888887405,1576
39.5247,-122.6482,352.7,"N","2020-08-20",555,"N",0,"2020-08-20 05:55:00","Elk Creek","California",52,1,0,0,14.8,6.2,28,0.4528,0.0451858229935169,1255
30.6805,-91.7158,318.4,"D","2020-10-29",1719,"D",0,"2020-10-29 17:19:00","Melville","Louisiana",684,1,0,0,16.8,19,46,0.6945,0.397542268037796,7
43.6619,-115.9997,307.6,"D","2020-04-17",1825,"D",0,"2020-04-17 18:25:00","Robie Creek","Idaho",1240,1,0,0,11.6,7.7,30,0.3961,0.168113693594933,1324
38.501,-122.4885,408.3,"N","2020-09-28",1015,"N",0,"2020-09-28 10:15:00","St. Helena","California",5378,1,0,0,23.8,13,20,0.488,0.0725966989994049,188
38.8379,-97.3128,325.9,"D","2020-08-20",1934,"D",0,"2020-08-20 19:34:00","Solomon","Kansas",945,1,0,99,31.1,11.9,35,0.7651,0.265165984630585,373
32.2703,-84.482,347,"D","2020-11-16",1842,"D",0,"2020-11-16 18:42:00","Buena Vista","Georgia",1966,1,0,0,12.7,6.8,50,0.7338,0.160901322960854,183
31.6699,-111.6678,305.6,"N","2020-10-11",528,"N",0,"2020-10-11 05:28:00","South Komelik","Arizona",213,1,0,0,19.8,12.2,34,0.228,0.0824325978755951,1070
38.2811,-91.0836,319,"D","2020-12-10",1933,"D",0,"2020-12-10 19:33:00","Charmwood","Missouri",11,1,0,0,12.4,14.1,60,0.4305,0.330810755491257,240
32.9873,-85.2678,323.3,"D","2020-10-08",1700,"D",0,"2020-10-08 17:00:00","Fredonia","Alabama",246,1,0,85,28.1,4.3,40,0.4778,0.159664988517761,247
43.0647,-94.7153,334,"D","2020-05-12",1817,"D",0,"2020-05-12 18:17:00","Emmetsburg","Iowa",3651,1,0,31,13.8,1.9,32,0.2894,0.234797105193138,364
37.5303,-119.1578,354.3,"N","2020-10-26",1039,"N",0,"2020-10-26 10:39:00","Mammoth Lakes","California",7233,1,0,0,1,8.9,13,0.2485,0.0477263554930687,1739
31.5523,-86.5089,311.2,"D","2020-10-14",1938,"D",0,"2020-10-14 19:38:00","Dozier","Alabama",410,1,0,42,22.6,6.6,81,0.7227,0.298422962427139,78
31.9844,-88.738,315.6,"D","2020-03-26",1901,"D",0,"2020-03-26 19:01:00","De Soto","Mississippi",112,1,0,0,28.9,7.8,48,0.7067,0.37029156088829,97
40.0273,-123.2827,314.6,"D","2020-09-23",1921,"D",0,"2020-09-23 19:21:00","Covelo","California",1495,1,0,40,23.6,15.5,48,0.6063,0.0464252643287182,541
44.6331,-119.3349,343,"D","2020-12-01",1937,"D",0,"2020-12-01 19:37:00","Long Creek","Oregon",154,1,0,0,2.2,4.6,38,0.3104,0.162701278924942,1370
